Sample description: 
Sample:   c= 0 mg/ml  Code: 
 8.000000e-003  8.650406e+001  4.691730e+000
 9.000000e-003  8.571991e+001  3.043970e+000
 1.000000e-002  8.546692e+001  2.473520e+000
 1.100000e-002  8.550085e+001  1.986120e+000
 1.200000e-002  8.551173e+001  1.760290e+000
 1.300000e-002  8.518230e+001  1.511060e+000
 1.400000e-002  8.456984e+001  1.370860e+000
 1.500000e-002  8.398324e+001  1.284130e+000
 1.600000e-002  8.362155e+001  1.168390e+000
 1.700000e-002  8.412276e+001  1.156010e+000
 1.800000e-002  8.352209e+001  1.144070e+000
 1.900000e-002  8.333779e+001  1.066580e+000
 2.000000e-002  8.338734e+001  1.025970e+000
 2.100000e-002  8.280742e+001  1.014570e+000
 2.200000e-002  8.255273e+001  9.808500e-001
 2.300000e-002  8.251749e+001  9.494600e-001
 2.400000e-002  8.232587e+001  9.322600e-001
 2.500000e-002  8.172790e+001  9.183100e-001
 2.600000e-002  8.166523e+001  8.661500e-001
 2.700000e-002  8.101046e+001  8.638400e-001
 2.800000e-002  8.040569e+001  8.780700e-001
 2.900000e-002  7.962907e+001  9.130000e-001
 3.000000e-002  7.992507e+001  9.048200e-001
 3.100000e-002  7.987823e+001  8.685500e-001
 3.200000e-002  7.964670e+001  8.610800e-001
 3.300000e-002  7.931351e+001  8.858700e-001
 3.400000e-002  7.876302e+001  9.039900e-001
 3.500000e-002  7.838409e+001  9.088800e-001
 3.600000e-002  7.818856e+001  9.174500e-001
 3.700000e-002  7.786860e+001  9.340600e-001
 3.800000e-002  7.717844e+001  1.017340e+000
 3.900000e-002  7.690078e+001  1.133790e+000
 4.000000e-002  7.680990e+001  1.098960e+000
 4.100000e-002  7.568398e+001  1.065520e+000
 4.200000e-002  7.575794e+001  1.043600e+000
 4.300000e-002  7.521416e+001  1.000850e+000
 4.400000e-002  7.439663e+001  1.010250e+000
 4.500000e-002  7.435237e+001  9.414600e-001
 4.600000e-002  7.398737e+001  9.047300e-001
 4.700000e-002  7.391866e+001  8.512000e-001
 4.800000e-002  7.367787e+001  9.754000e-001
 4.900000e-002  7.260711e+001  8.051300e-001
 5.025000e-002  7.267853e+001  6.002900e-001
 5.200000e-002  7.142748e+001  5.307000e-001
 5.400000e-002  7.030129e+001  5.209500e-001
 5.600000e-002  6.937558e+001  5.186000e-001
 5.800000e-002  6.848909e+001  4.995000e-001
 6.000000e-002  6.681351e+001  5.048600e-001
 6.200000e-002  6.622269e+001  4.800200e-001
 6.400000e-002  6.484435e+001  4.785900e-001
 6.600000e-002  6.390922e+001  4.618800e-001
 6.800000e-002  6.240751e+001  4.629700e-001
 7.000000e-002  6.149545e+001  4.462500e-001
 7.200000e-002  6.064664e+001  4.423600e-001
 7.400000e-002  5.913962e+001  4.327600e-001
 7.600000e-002  5.792322e+001  4.320500e-001
 7.800000e-002  5.689329e+001  4.189200e-001
 8.000000e-002  5.552397e+001  4.089400e-001
 8.200000e-002  5.454702e+001  4.040800e-001
 8.400000e-002  5.303415e+001  4.042600e-001
 8.600000e-002  5.173755e+001  3.890300e-001
 8.800000e-002  5.042034e+001  3.876300e-001
 9.000000e-002  4.911573e+001  3.781400e-001
 9.200000e-002  4.808903e+001  3.722200e-001
