### DATA:
#
# 1696
#      Q             I(Q)           Error     
2.90283960E-03  1.52516586E+00  1.09645689E-01
3.02636469E-03  1.61811141E+00  9.79546456E-02
3.14988978E-03  1.44960721E+00  8.57084901E-02
3.27341487E-03  1.56914805E+00  7.77548248E-02
3.39693996E-03  1.67709197E+00  7.33499547E-02
3.52046505E-03  1.64395747E+00  6.78690398E-02
3.64399014E-03  1.51059696E+00  6.34928402E-02
3.76751523E-03  1.62212489E+00  5.93535352E-02
3.89104032E-03  1.55008036E+00  5.71924855E-02
4.01456541E-03  1.58488569E+00  5.39894166E-02
4.13809050E-03  1.56788341E+00  5.10011074E-02
4.26161559E-03  1.53795984E+00  4.88296677E-02
4.38514068E-03  1.57162053E+00  4.65670749E-02
4.50866577E-03  1.66296972E+00  4.48265367E-02
4.63219086E-03  1.70915333E+00  4.32926883E-02
4.75571595E-03  1.66082255E+00  4.13435866E-02
4.87924104E-03  1.69731078E+00  3.97304524E-02
5.00276613E-03  1.66046438E+00  3.88417200E-02
5.12629122E-03  1.63741190E+00  3.73910872E-02
5.24981630E-03  1.69011309E+00  3.62436600E-02
5.37334139E-03  1.71328819E+00  3.53340693E-02
5.49686648E-03  1.67226320E+00  3.45251787E-02
5.62039157E-03  1.58149104E+00  3.35429575E-02
5.74391666E-03  1.60241337E+00  3.25536939E-02
5.86744175E-03  1.65494540E+00  3.23356940E-02
5.99096684E-03  1.58581199E+00  3.11374900E-02
6.11449193E-03  1.60267707E+00  3.13143389E-02
6.23801702E-03  1.57250338E+00  3.05887130E-02
6.36154211E-03  1.69909562E+00  2.95862620E-02
6.48506720E-03  1.69037757E+00  2.95959685E-02
6.60859229E-03  1.59439500E+00  2.91578061E-02
6.73211738E-03  1.57372455E+00  2.85462397E-02
6.85564247E-03  1.60078341E+00  2.77491191E-02
6.97916756E-03  1.60419925E+00  2.73760783E-02
7.10269265E-03  1.59738873E+00  2.76430070E-02
7.22621774E-03  1.57800296E+00  2.69355761E-02
7.34974283E-03  1.58790116E+00  2.67843095E-02
7.47326792E-03  1.65553817E+00  2.62298661E-02
7.59679301E-03  1.62033267E+00  2.56406664E-02
7.72031810E-03  1.56595934E+00  2.58668816E-02
7.84384319E-03  1.61748223E+00  2.55086171E-02
7.96736827E-03  1.60200812E+00  2.51081472E-02
8.09089336E-03  1.62343374E+00  2.51700035E-02
8.21441845E-03  1.64231228E+00  2.47492310E-02
8.33794354E-03  1.59299706E+00  2.46155753E-02
8.46146863E-03  1.60554879E+00  2.41106486E-02
8.58499372E-03  1.63841910E+00  2.40565736E-02
8.70851881E-03  1.56693099E+00  2.39414983E-02
8.83204390E-03  1.58270965E+00  2.35535058E-02
8.95556899E-03  1.59660170E+00  2.33662168E-02
9.07909408E-03  1.62570647E+00  2.28169001E-02
9.20261917E-03  1.60387734E+00  2.28457454E-02
9.32614426E-03  1.60172834E+00  2.29560656E-02
9.44966935E-03  1.57694185E+00  2.24794052E-02
9.57319444E-03  1.54882210E+00  2.22644904E-02
9.69671953E-03  1.56113208E+00  2.20555572E-02
9.82024462E-03  1.59437837E+00  2.21047461E-02
9.94376971E-03  1.60493077E+00  2.16455235E-02
1.00672948E-02  1.62305783E+00  2.14754815E-02
1.01908199E-02  1.59444442E+00  2.16331970E-02
1.03143450E-02  1.61996516E+00  2.11926148E-02
1.04378701E-02  1.57094825E+00  2.11373925E-02
1.05613952E-02  1.61842145E+00  2.08392799E-02
1.06849202E-02  1.58428029E+00  2.07704530E-02
1.08084453E-02  1.55864745E+00  2.06748766E-02
1.09319704E-02  1.56941138E+00  2.04624141E-02
1.10554955E-02  1.59835115E+00  2.03636746E-02
1.11790206E-02  1.61796854E+00  2.00835053E-02
1.13025457E-02  1.57227517E+00  2.00048008E-02
1.14260708E-02  1.56268155E+00  2.00036352E-02
1.15495959E-02  1.56122844E+00  1.98310537E-02
1.16731210E-02  1.61511352E+00  1.96695441E-02
1.17966460E-02  1.59449869E+00  1.95363176E-02
1.19201711E-02  1.63079577E+00  1.94467116E-02
1.20436962E-02  1.55559486E+00  1.93938781E-02
1.21672213E-02  1.56764181E+00  1.90479748E-02
1.22907464E-02  1.56909092E+00  1.90346810E-02
1.24142715E-02  1.58285710E+00  1.89455807E-02
1.25377966E-02  1.55086915E+00  1.89342225E-02
1.26613217E-02  1.58725714E+00  1.86581244E-02
1.27848468E-02  1.58775854E+00  1.86459720E-02
1.29083719E-02  1.52933276E+00  1.85504299E-02
1.30318969E-02  1.57922510E+00  1.84982666E-02
1.31554220E-02  1.55966572E+00  1.82651281E-02
1.32789471E-02  1.55223946E+00  1.80785935E-02
1.34024722E-02  1.56638572E+00  1.81875250E-02
1.35259973E-02  1.57764580E+00  1.80288013E-02
1.36495224E-02  1.58331950E+00  1.79893108E-02
1.37730475E-02  1.59698022E+00  1.78502732E-02
1.38965726E-02  1.59169883E+00  1.77599185E-02
1.40200977E-02  1.56915361E+00  1.77020086E-02
1.41436228E-02  1.58118786E+00  1.76458935E-02
1.42671478E-02  1.57462812E+00  1.73891022E-02
1.43906729E-02  1.61955364E+00  1.74844512E-02
1.45141980E-02  1.58079300E+00  1.72319393E-02
1.46377231E-02  1.59267947E+00  1.72794187E-02
1.47612482E-02  1.58393276E+00  1.71712086E-02
1.48847733E-02  1.54713213E+00  1.70273508E-02
1.50082984E-02  1.52733114E+00  1.69347749E-02
1.51318235E-02  1.56664596E+00  1.69028090E-02
1.52553486E-02  1.54529841E+00  1.68778532E-02
1.53788736E-02  1.53589629E+00  1.66605196E-02
1.55023987E-02  1.54580217E+00  1.66188248E-02
1.56259238E-02  1.60892540E+00  1.66824552E-02
1.57494489E-02  1.54093030E+00  1.66010161E-02
1.58729740E-02  1.52323289E+00  1.63790622E-02
1.59964991E-02  1.53953134E+00  1.63543556E-02
