
           ####      G N O M             Version 5.0 (r12736)      ####
                                               Tue Aug 17 08:18:21 2021

           ####      Configuration                                 ####

    System Type:                   arbitrary monodisperse (job = 0)
    Minimum characteristic size:         0.0000
    Maximum characteristic size:        45.1900
    rad56:                               0.0000
    Force 0.0 at r = rmin:                  yes
    Force 0.0 at r = rmax:                  yes
    Initial alpha:                       0.0000
    Initial random seed:      50577953433264708
    Points in real space:                   221

    Input  1:                      F:/HR-LYS/dat/alys_1.8.dat
    First data point used:                    1
    Last data point used:                   222
    Scaling coefficient:             0.1000E+01
    Experimental setup:            point collimation



           ####      Results                                       ####

    Parameter    DISCRP  OSCILL  STABIL  SYSDEV  POSITV  VALCEN  SMOOTH
    Weight        1.000   3.000   3.000   3.000   1.000   1.000   1.000
    Sigma         0.300   0.600   0.120   0.120   0.120   0.120   0.600
    Ideal         0.700   1.100   0.000   1.000   1.000   0.950   0.000
    Current       0.762   1.466   0.015   0.462   1.000   0.948   0.113
               --------------------------------------------------------
    Estimate      0.958   0.689   0.985   0.000   1.000   1.000   0.965

    Angular range:                       0.0080 to       1.7200
    Reciprocal space Rg:             0.1421E+02
    Reciprocal space I(0):           0.8560E+02

    Real space range:                    0.0000 to      45.1900
    Real space Rg:                   0.1420E+02 +-   0.4941E-01
    Real space I(0):                 0.8560E+02 +-   0.2125E+00

    Highest ALPHA (theor):           0.1697E+04
    Current ALPHA:                   0.4712E+02

    Total Estimate:                      0.6883 (a REASONABLE solution)



           ####      Experimental Data and Fit                     ####

      S          J EXP       ERROR       J REG       I REG

   0.000000E+00                                                0.856030E+02
   0.888889E-03                                                0.855979E+02
   0.177778E-02                                                0.855843E+02
   0.266667E-02                                                0.855615E+02
   0.355556E-02                                                0.855297E+02
   0.444444E-02                                                0.854888E+02
   0.533333E-02                                                0.854389E+02
   0.622222E-02                                                0.853798E+02
   0.711111E-02                                                0.853118E+02
   0.800000E-02   0.865041E+02   0.469173E+01   0.852348E+02   0.852348E+02
   0.900000E-02   0.857199E+02   0.304397E+01   0.851373E+02   0.851373E+02
   0.100000E-01   0.854669E+02   0.247352E+01   0.850286E+02   0.850286E+02
   0.110000E-01   0.855008E+02   0.198612E+01   0.849085E+02   0.849085E+02
   0.120000E-01   0.855117E+02   0.176029E+01   0.847772E+02   0.847772E+02
   0.130000E-01   0.851823E+02   0.151106E+01   0.846347E+02   0.846347E+02
   0.140000E-01   0.845698E+02   0.137086E+01   0.844810E+02   0.844810E+02
   0.150000E-01   0.839832E+02   0.128413E+01   0.843163E+02   0.843163E+02
   0.160000E-01   0.836215E+02   0.116839E+01   0.841405E+02   0.841405E+02
   0.170000E-01   0.841228E+02   0.115601E+01   0.839537E+02   0.839537E+02
   0.180000E-01   0.835221E+02   0.114407E+01   0.837561E+02   0.837561E+02
   0.190000E-01   0.833378E+02   0.106658E+01   0.835476E+02   0.835476E+02
   0.200000E-01   0.833873E+02   0.102597E+01   0.833284E+02   0.833284E+02
   0.210000E-01   0.828074E+02   0.101457E+01   0.830985E+02   0.830985E+02
