r,p_of_r
0,0
0.300751879699,0.000436307746157
0.601503759398,0.00173458544217
0.902255639098,0.00387886477433
1.2030075188,0.00685317742895
1.5037593985,0.0106415550923
1.8045112782,0.0152280294508
2.10526315789,0.0205966321906
2.40601503759,0.0267313949981
2.70676691729,0.0336163495596
3.00751879699,0.0412355275614
3.30827067669,0.0495729606898
3.60902255639,0.0586126806311
3.90977443609,0.0683387190715
4.21052631579,0.0787351076975
4.51127819549,0.0897858781953
4.81203007519,0.101475062251
5.11278195489,0.113786691552
5.41353383459,0.126704797783
5.71428571429,0.140213412631
6.01503759398,0.154296567782
6.31578947368,0.168938294923
6.61654135338,0.18412262574
6.91729323308,0.199833591919
7.21804511278,0.216055225147
7.51879699248,0.23277155711
7.81954887218,0.249966619494
8.12030075188,0.267624443985
8.42105263158,0.28572906227
8.72180451128,0.304264506035
9.02255639098,0.323214806966
9.32330827068,0.342563996751
9.62406015038,0.362296107074
9.92481203008,0.382395169622
10.2255639098,0.402845216082
10.5263157895,0.42363027814
10.8270676692,0.444734387482
11.1278195489,0.466141575795
11.4285714286,0.487835874764
11.7293233083,0.509801316077
12.030075188,0.532021931419
12.3308270677,0.554481752477
12.6315789474,0.577164810937
12.9323308271,0.600055138485
13.2330827068,0.623136766807
13.5338345865,0.646393727591
13.8345864662,0.669810052522
14.1353383459,0.693369773287
14.4360902256,0.717056921571
14.7368421053,0.740855529062
15.037593985,0.764749627445
15.3383458647,0.788723248406
15.6390977444,0.812760423633
15.9398496241,0.836845184811
16.2406015038,0.860961563627
16.5413533835,0.885093591767
16.8421052632,0.909225300917
17.1428571429,0.933340722764
17.4436090226,0.957423888994
17.7443609023,0.981458831293
18.045112782,1.00542958135
18.3458646617,1.02932017084
18.6466165414,1.05311463147
18.9473684211,1.07679699491
19.2481203008,1.10035129285
19.5488721805,1.12376155697
19.8496240602,1.14701181897
20.1503759398,1.17008611053
20.4511278195,1.19296846334
20.7518796992,1.21564290908
21.0526315789,1.23809347943
21.3533834586,1.26030420609
21.6541353383,1.28225912075
21.954887218,1.30394225508
22.2556390977,1.32533764077
22.5563909774,1.34642930951
22.8571428571,1.36720129299
23.1578947368,1.3876376229
23.4586466165,1.40772233091
23.7593984962,1.42743944871
24.0601503759,1.44677303159
24.3609022556,1.46571213536
24.6616541353,1.48425697272
24.962406015,1.50240926597
25.2631578947,1.52017073743
25.5639097744,1.53754310938
25.8646616541,1.55452810414
26.1654135338,1.571127444
26.4661654135,1.58734285126
26.7669172932,1.60317604824
27.0676691729,1.61862875723
27.3684210526,1.63370270053
27.6691729323,1.64839960045
27.969924812,1.66272117928
28.2706766917,1.67666915934
28.5714285714,1.69024526292
28.8721804511,1.70345121232
29.1729323308,1.71628872986
29.4736842105,1.72875953782
29.7744360902,1.74086535851
30.0751879699,1.75260791424
30.3759398496,1.7639889273
30.6766917293,1.77501012
30.977443609,1.78567321464
31.2781954887,1.79597993353
31.5789473684,1.80593199896
31.8796992481,1.81553113324
32.1804511278,1.82477905867
32.4812030075,1.83367749755
32.7819548872,1.84222817218
33.0827067669,1.85043280487
33.3834586466,1.85829311792
33.6842105263,1.86581083363
33.984962406,1.87298767431
34.2857142857,1.87982536225
34.5864661654,1.88632561976
34.8872180451,1.89249016914
35.1879699248,1.89832073269
35.4887218045,1.90381903271
35.7894736842,1.90898679152
36.0902255639,1.9138257314
36.3909774436,1.91833757466
36.6917293233,1.92252404361
36.992481203,1.92638686054
37.2932330827,1.92992774776
37.5939849624,1.93314842758
37.8947368421,1.93605062228
38.1954887218,1.93863605418
38.4962406015,1.94090644558
38.7969924812,1.94286351878
39.0977443609,1.94450899607
39.3984962406,1.94584459978
39.6992481203,1.94687205219
40,1.9475930756
40.3007518797,1.94800939233
40.6015037594,1.94812272467
40.9022556391,1.94793479493
41.2030075188,1.94744732541
41.5037593985,1.9466620384
41.8045112782,1.94558065622
42.1052631579,1.94420490116
42.4060150376,1.94253649553
42.7067669173,1.94057716162
43.007518797,1.93832862175
43.3082706767,1.93579259821
43.6090225564,1.93297081331
43.9097744361,1.92986498935
44.2105263158,1.92647684862
44.5112781955,1.92280811344
44.8120300752,1.9188605061
45.1127819549,1.91463574891
45.4135338346,1.91013556417
45.7142857143,1.90536167418
46.015037594,1.90031580125
46.3157894737,1.89499966767
46.6165413534,1.88941499575
46.9172932331,1.88356350778
47.2180451128,1.87744692609
47.5187969925,1.87106697295
47.8195488722,1.86442537069
48.1203007519,1.85752389539
48.4210526316,1.85036641465
48.7218045113,1.84295951292
49.022556391,1.83530995628
49.3233082707,1.82742451078
49.6240601504,1.81930994247
49.9248120301,1.8109730174
50.2255639098,1.80242050163
50.5263157895,1.79365916121
50.8270676692,1.7846957622
51.1278195489,1.77553707065
51.4285714286,1.76618985261
51.7293233083,1.75666087415
52.030075188,1.74695690131
52.3308270677,1.73708470015
52.6315789474,1.72705103673
52.9323308271,1.71686267709
53.2330827068,1.70652638729
53.5338345865,1.69604893339
53.8345864662,1.68543708144
54.1353383459,1.67469759749
54.4360902256,1.6638372476
54.7368421053,1.65286279783
55.037593985,1.64178101422
55.3383458647,1.63059866284
55.6390977444,1.61932250973
55.9398496241,1.60795932095
56.2406015038,1.59651586256
56.5413533835,1.58499890061
56.8421052632,1.57341520115
57.1428571429,1.56177153024
57.4436090226,1.55007465393
57.7443609023,1.53833133828
58.045112782,1.52654834933
58.3458646617,1.51473245316
58.6466165414,1.5028904158
58.9473684211,1.49102900332
59.2481203008,1.47915498176
59.5488721805,1.46727511719
59.8496240602,1.45539617565
60.1503759398,1.44352492321
60.4511278195,1.43166812591
60.7518796992,1.41983254981
61.0526315789,1.40802496096
61.3533834586,1.39625212542
61.6541353383,1.38452080925
61.954887218,1.37283777849
62.2556390977,1.3612097992
62.5563909774,1.34964363744
62.8571428571,1.33814605926
63.1578947368,1.32672383071
63.4586466165,1.31538371785
63.7593984962,1.30413248674
64.0601503759,1.29297690342
64.3609022556,1.28192373395
64.6616541353,1.27097974439
