candidate_id,family,seed,weights,rg,i_zero,min_pr,min_iq,pr_at_zero,pr_at_dmax,derivative_at_zero,derivative_at_dmax,accepted,rejection_reason
case_0000,clamped_spline_random,40,"[1.5138172914764918, 1.4481469222433847, 1.8954578310222487, 0.30737370808059356]",40.38208204959279,123.95509806285452,-0.015072805795434935,0.031026074010068697,0.0,2.220446049250313e-16,7.170190367370803e-17,-6.938893903907228e-18,False,negative_pr
case_0003,clamped_spline_random,40,"[1.34707031814597, 0.27619169856006753, 0.2858840939961374, 0.7746895686991287]",43.49968926644276,64.41205630308987,0.0,-0.007488438360486519,0.0,0.0,-7.632783294297951e-17,1.3877787807814457e-17,False,negative_iq
case_0004,clamped_spline_random,40,"[0.5801699207087282, 1.5972425278123663, 1.635034384278847, 0.5092189742808578]",44.62760934329977,103.71997936584684,0.0,-1.4095720211933318,0.0,1.6653345369377348e-16,-2.312964634635743e-17,0.0,False,negative_iq
case_0005,clamped_spline_random,40,"[0.4519970606412792, 0.866077701907504, 1.1533549729761252, 1.1762570569915105]",51.35344303846059,87.54448301693992,0.0,-0.35749653524018293,0.0,0.0,4.625929269271486e-17,0.0,False,negative_iq
case_0006,clamped_spline_random,40,"[0.8842232601210263, 0.976982500139212, 0.8491911339006446, 0.6941308751548112]",44.77706045457944,81.70866646035279,-1.1102230246251565e-16,-1.406627802104838e-05,0.0,-1.1102230246251565e-16,7.401486830834377e-17,6.938893903907228e-18,False,negative_iq
case_0007,clamped_spline_random,40,"[1.3172470266732124, 0.6847455456882139, 0.9535107153242748, 1.1226808713226633]",46.69523923700365,97.87641981233897,0.0,-0.032985169988960644,0.0,0.0,4.625929269271486e-17,0.0,False,negative_iq
case_0008,clamped_spline_random,40,"[0.7470805393725436, 0.8016427534592688, 0.6368289513603951, 0.6754171055566449]",45.605392907233686,68.66326439126331,0.0,-0.013892995650663868,0.0,0.0,3.180326372624146e-17,0.0,False,negative_iq
case_0009,clamped_spline_random,40,"[0.6090979812588461, 0.7261649825964995, 1.4684800650677778, 0.46014725121125505]",46.13869139417022,78.33336672013439,-2.7755575615628914e-17,-0.033372886319524286,0.0,-2.7755575615628914e-17,6.938893903907228e-17,-4.336808689942018e-18,False,negative_iq
case_0011,clamped_spline_random,40,"[0.7961406662671918, 0.7534779942559982, 0.4017849805361097, 1.2119630624950855]",49.73634073868363,75.92080088230973,0.0,-0.41293351913191295,0.0,0.0,-1.1564823173178715e-16,0.0,False,negative_iq
case_0012,clamped_spline_random,40,"[1.3014097456617597, 0.4932147281816093, 0.29636743364637164, 1.0645512541149815]",46.096556059077784,75.73303587552525,0.0,-0.044073887656911406,0.0,2.220446049250313e-16,7.632783294297951e-17,5.551115123125783e-17,False,negative_iq
case_0013,clamped_spline_random,40,"[0.899875491497304, 0.44263911341893514, 0.38315106161699874, 1.9665121759051851]",54.560809479171496,88.6122682150259,0.0,-0.5267417516281572,0.0,8.881784197001252e-16,-5.342948306008566e-16,2.7755575615628914e-17,False,negative_iq
case_0014,clamped_spline_random,40,"[1.6411558777414275, 1.3020204296016253, 0.9661452575157203, 1.8809804373539682]",47.91614110598545,138.96724804762277,0.0,-0.10038306886225153,0.0,0.0,-1.1564823173178714e-17,0.0,False,negative_iq
case_0015,clamped_spline_random,40,"[1.22842921503261, 1.2755323700032977, 0.6955684721513966, 1.2187646085266877]",45.97786838416806,106.03907197295197,-4.440892098500626e-16,-0.045768195208948904,0.0,-4.440892098500626e-16,-5.3198186596622086e-17,-1.3877787807814457e-17,False,negative_iq
case_0016,clamped_spline_random,40,"[1.3855018282153115, 1.554256579967872, 1.457329223892637, 1.788561149412413]",48.149475146670234,148.45557074986021,0.0,-0.08841888434184232,0.0,0.0,-5.088522196198634e-17,-4.163336342344337e-17,False,negative_iq
case_0017,clamped_spline_random,40,"[0.35340397449663996, 1.8658526447532744, 1.2537177995264666, 0.7658684192047636]",46.28187337596706,101.73222810753359,-0.0038943939503467574,-3.7342408310836883,0.0,0.0,4.7415775010032725e-17,0.0,False,negative_pr
case_0018,clamped_spline_random,40,"[1.5794734308996174, 0.42127825528525253, 0.45334341986180615, 1.992516678066965]",50.77390028526813,106.71868281451674,0.0,-0.14690558417766086,0.0,8.881784197001252e-16,-2.544261098099317e-17,0.0,False,negative_iq
case_0020,clamped_spline_random,40,"[0.7692483887651521, 1.8968139502563943, 1.9020176572735263, 1.6074696108932036]",49.0413312021385,148.2131905666708,0.0,-1.1374040930309037,0.0,0.0,1.3877787807814457e-17,-1.3877787807814457e-17,False,negative_iq
case_0021,clamped_spline_random,40,"[0.256620590053385, 0.6181171501441712, 1.4532955864785506, 0.9031838906682825]",52.079849614046765,77.5492132132056,-1.1102230246251565e-16,-3.740733430177417,0.0,-1.1102230246251565e-16,2.6599093298311043e-17,-3.469446951953614e-18,False,negative_iq
case_0022,clamped_spline_random,40,"[0.37880742578509935, 1.9501498192965214, 0.4576292568774199, 0.3714851001995376]",40.91861896918141,75.79371844881538,-0.010602179120609023,-5.597631820828395,0.0,0.0,-6.046234115227496e-17,6.938893903907228e-18,False,negative_pr
case_0023,clamped_spline_random,40,"[1.21326300828071, 0.6137678906824015, 0.7683317109504951, 0.7946223807180767]",44.66796840267366,81.3596397719503,0.0,-0.0012820201315185014,0.0,1.1102230246251565e-16,-1.2027416100105862e-16,1.3877787807814457e-17,False,negative_iq
case_0024,clamped_spline_random,40,"[0.9976056599616548, 1.2901247815568035, 1.7008391535259024, 1.0411731976716418]",46.84693866800025,120.71382702042123,0.0,-0.015381160035823759,0.0,1.1102230246251565e-16,2.6020852139652106e-17,6.938893903907228e-18,False,negative_iq
case_0029,clamped_spline_random,40,"[0.5904318414787552, 0.27130849984260647, 0.8204388259899839, 0.8757404312678425]",51.1933152637606,61.39007036347833,-1.1102230246251565e-16,-0.059233107272493424,0.0,-1.1102230246251565e-16,1.3950067952646823e-17,-6.938893903907228e-18,False,negative_iq
case_0034,clamped_spline_random,40,"[0.3809194177072604, 1.4578478619987603, 1.902334783840515, 1.886991861325776]",52.55785670145945,135.07425419160606,0.0,-4.1890019604509785,0.0,0.0,1.850371707708594e-17,-1.3877787807814457e-17,False,negative_iq
case_0035,clamped_spline_random,40,"[0.7833963285370618, 1.7972102136574222, 1.8742791913270713, 0.5735511456505464]",44.17696603913279,120.68248509536885,0.0,-0.07401425587136708,0.0,1.5959455978986625e-16,4.163336342344337e-17,6.938893903907228e-18,False,negative_iq
case_0036,clamped_spline_random,40,"[1.9502940794488832, 0.4584469169752584, 0.32165215748759596, 0.323572761811605]",33.537921002010044,73.29518197446832,0.0,0.0510949143738179,0.0,0.0,6.47630097698008e-17,0.0,False,accepted_limit_reached
case_0037,clamped_spline_random,40,"[0.7535960683040377, 0.7527159149993627, 1.37936908627142, 1.2413159872490103]",50.34555584969769,99.04792935986394,0.0,-0.07665228526301514,0.0,0.0,4.423544863740858e-17,6.938893903907228e-18,False,negative_iq
case_0038,clamped_spline_random,40,"[1.2922590184366751, 1.8891690964054009, 0.6424077133208288, 1.04762598126002]",43.289104005838254,116.91508342153726,0.0,-0.9657255034266103,0.0,4.440892098500626e-16,1.249000902703301e-16,-1.3877787807814457e-17,False,negative_iq
case_0039,clamped_spline_random,40,"[0.3729890194050392, 0.712985275422889, 1.1239610034313152, 1.9384806511496862]",55.81668034419003,99.56198278188603,0.0,-2.4515636308522746,0.0,0.0,-1.850371707708594e-17,0.0,False,negative_iq
case_0040,clamped_spline_random,40,"[1.6739458561750493, 1.5013235101988007, 1.296186363205286, 1.4243464004534674]",45.55864208877894,141.49925111519954,0.0,-0.027683598592835437,0.0,2.220446049250313e-16,-1.214306433183765e-16,-1.3877787807814457e-17,False,negative_iq
